264,663,251
748,599,288
559,170,614
459,109,134
598,810,334
690,971,137
890,808,464
749,618,910
423,829,422
533,152,661
987,320,595
355,873,593
334,861,809
393,916,344
770,431,89
259,703,67
990,190,605
746,255,353
180,326,364
687,201,398
510,194,143
296,847,27
576,425,674
964,979,696
691,643,717
415,368,300
41,226,184
943,198,178
835,874,546
871,393,448
778,165,941
764,754,968
555,766,81
497,549,758
203,80,100
568,170,452
67,840,155
862,344,762
872,317,871
462,856,741
263,324,397
313,955,843
980,249,440
559,712,762
77,218,4
965,213,681
96,256,313
98,540,39
628,854,361
465,544,397
212,418,441
121,324,605
318,699,452
995,665,81
895,989,473
584,460,926
287,348,894
568,297,292
568,80,490
884,565,526
568,105,281
367,124,823
519,48,736
732,565,647
650,490,713
758,606,630
283,302,979
378,4,55
274,983,643
872,986,283
680,414,753
789,76,519
613,604,911
414,724,470
135,322,181
809,861,145
632,353,122
834,723,429
925,731,602
415,706,707
142,321,144
355,664,493
610,268,322
609,665,230
439,917,549
823,967,149
94,963,484
744,475,447
264,371,607
381,263,886
848,85,155
674,931,16
844,847,367
677,525,443
495,81,291
587,721,225
779,453,397
219,352,136
666,408,595
825,378,182
444,634,153
20,678,723
194,273,74
16,77,637
619,503,929
273,517,280
382,736,855
42,368,176
269,747,759
130,928,386
803,584,710
774,962,29
598,319,121
480,698,363
71,244,248
646,103,644
592,660,166
96,144,362
650,288,661
411,644,791
995,198,682
89,589,195
141,267,365
938,267,545
137,773,477
586,242,833
941,639,377
172,874,639
236,861,926
112,919,50
64,99,929
56,431,677
909,733,168
943,271,259
726,922,12
428,920,619
100,282,580
710,706,550
694,459,95
508,231,755
705,850,917
689,247,464
960,182,64
767,180,712
445,211,696
379,133,584
548,0,301
485,749,465
473,337,870
433,275,904
861,759,523
138,682,115
979,410,516
51,844,107
910,143,563
295,286,270
933,373,585
812,82,187
510,727,923
662,752,736
229,913,21
116,28,366
1000,293,840
258,727,223
536,94,172
190,643,731
496,690,571
243,182,359
371,765,641
369,50,779
761,438,475
419,180,773
646,515,795
396,666,527
142,766,640
993,785,975
752,220,849
283,847,390
171,68,358
66,710,411
761,974,607
102,604,344
442,473,830
367,47,423
476,999,215
167,932,551
549,776,173
72,282,887
298,824,240
539,674,796
871,664,968
565,63,479
426,213,207
713,96,201
643,695,541
458,605,881
316,448,725
17,882,722
932,420,543
934,71,888
883,62,925
427,943,50
495,293,368
693,759,68
783,934,920
302,103,677
128,792,136
433,215,49
284,831,335
126,912,723
144,270,622
473,28,13
349,252,360
838,270,818
810,469,325
77,839,298
722,312,311
221,897,685
258,679,1
434,639,298
888,514,622
856,135,408
555,761,756
217,924,531
615,611,941
184,413,838
122,926,785
878,977,980
281,891,349
101,712,601
505,370,713
768,448,832
146,64,346
828,79,381
44,44,712
52,237,935
575,209,186
437,349,86
489,521,396
586,656,961
547,456,44
409,630,740
76,992,1000
257,216,620
908,806,748
229,798,4
302,744,664
253,911,228
931,759,418
447,7,129
113,227,6
770,215,196
519,389,402
148,602,140
269,662,852
143,595,126
794,880,817
100,941,447
146,184,893
928,810,233
136,213,594
884,144,742
883,950,901
53,92,655
479,895,874
667,281,276
880,260,578
866,211,603
921,124,936
703,977,729
653,861,311
425,990,998
487,907,113
650,31,37
282,140,797
767,612,95
731,992,830
589,459,990
722,1000,217
861,750,556
613,392,25
673,616,762
201,964,111
117,46,211
769,612,753
288,232,377
889,534,828
932,57,418
239,866,559
128,935,59
511,544,380
612,796,74
883,456,895
844,65,253
314,249,984
672,234,344
252,656,298
190,970,816
298,975,182
387,801,150
777,153,419
653,914,428
616,216,283
523,990,501
753,804,219
9,132,295
995,875,667
15,452,90
423,429,85
667,678,152
338,230,425
492,456,205
802,344,694
915,418,723
364,747,734
896,978,964
596,87,521
188,571,392
767,400,210
